"albumid","album"
1,the best of the modern years
2,i'm walking
3,tenacious d
4,his greatest ings
5,portrait
6,memphis country blues
7,greatest hits
8,tuning in
9,ballade de johnny-jane
10,rollin' stone
11,my poem is.the world according to sagat
12,the collection
13,legends
14,king of the slide guitar
15,the essential
16,the black rider
17,cannned heat (complete rec works in chron);
18,country blues
19,season of da siccness (the resurrection);
20,early autumnovery]
21,"liveyork city, 1967"
22,out of the blues box
23,warner blues
24,"17 greatest hits"
25,ella
26,come together
27,champion jack dupree : blue masters
28,bonewoman
29,"louis armstrong's 50 choruses for cornet 1927, -2"
30,it's not over
31,american spirit blues
32,bläst brandwein
33,"lightnin', joel & john henry"
34,feel so best live
36,duests
37,singles of the 90s
38,anybody's baby
39,lo mejor de lo mejor
40,freedom
41,the ballad collection
42,god's favorite
43,heart of gold ãstreet future opera beat popsã
44,all the best
45,"129 - jazz odyssey"
46,in copenhagen
47,coletania pessoal
48,tasty
49,fit for a king
50,la mauvaise réputation 3
51,anajosenacho
52,rock profile
53,more than a woman
54,the complete syl johnson on hi
55,"different times, lou reed in the '70s"
56,hampton 03-86
57,mtv unplugged
58,forever gold
59,forever love - 36 greatest hits
60,bluebird-carmen sings thelonious monk
61,i love you the rockâ
62,piano man : the very best of billy joel
63,swinging mademoiselles
64,the guitar of john fahey
65,all time greatest hits
66,blues came to burgaw
67,blues masters - : jump blues classics
68,memphis ings 1951
69,the very best of
70,col. maestros del jazz & blues
71,the complete jelly roll morton
72,two-tone jump
73,blues kingpins
74,quintette du hot club de france
75,in a schtodt woss schtarbt
76,the great blues works
77,teddy wilson his piano and orchestra with billie holiday
78,jazz & blues collection n66
79,jazz tribune
80,young man of manhattan
81,seven nights
82,nuttin' but nat
83,greasy kid stuff
84,live at newport
85,två rosor i buteljen
86,le roi des jongleurs
87,mh
88,conociéndote
89,london calling
90,ghetto hymns
91,anthology 1
92,"n. simone, d. washinton, s. vaughan"
93,encounter
94,no minor keys
95,complete fifties studio ings
96,alone with the blues
97,cound choice stevie ray vaughan karaoke 2319
98,well bless my soul
99,a letter
100,the writing's on the wall
101,miss thang
103,salsa caliente de nu york
104,still got the blue (digital remaster);
105,meridian
106,"the best of john lee hooker, 1965 to 1974"
107,starvation box
108,citizen of the world
109,in the mood - blue note mixjin
110,larf
111,método harmonica blues
112,here i come with the the blues
113,gold ballads
114,our songs 08
115,a tribute to gerry mulligan
116,musician of the year 1955
117,boheme
118,breathless
119,invincible
121,buxton '95-the alexis korner memorial concert
122,le chant des rêves
123,story
124,the complete collection
125,elements of life (cccd);
126,kinzdom come
127,desconhecido
128,tal vez
129,in the ghetto outtake
131,the star spangled banner
132,blister in the sun
133,acting in
134,vsak dan je valentinovo - mobitel cd
135,mata au himade
136,az. 2006 cds
137,zahlen un fröhlich sein
138,här é laget
139,poisonwood (single);
140,made in japan
141,richard pelland
142,stuck in the middle
143,know your enemy
144,michael promo mcd
145,instead cds
146,closer to the flame (promo);
147,kids
148,jingle belele (promosingle);
149,waiting for mary
150,anouk - break down the wall
151,beware
152,have yourself a merry little christmas
153,bread alone (single);
154,only because
155,read my scars (cds);
156,"henri, valentin et les autres"
157,stop cryimg your heart outsingle);
158,mujer
159,io e mio fratello
160,some velvet morning
161,clones
162,try honestly (uk promo);
163,electrascy
164,too much of nothing
165,miro la vida pasar
166,baby boy
167,you don't have to remind me
168,"blu, lo que sueño (promo);"
169,summer rain
170,single
171,paradox
172,pretty noose
173,if there was any other way
174,hell to pay
175,head music (bonus cd);
176,in existence
177,live at the tone shack
178,play it again
179,auction
180,la soledad
181,i disappear (maxi);
182,peter gabriel solsbury hill cds
183,driven - promosingle
184,special 8cmcd
185,flower of romance
186,love or something
187,child is my name single
188,èâmemento-moriâ
189,i can hardly wait 'til christmas
190,not an addict
191,victimized
192,lovers live bonus
193,killing me softly
194,take five
195,thimar - promo cd
196,silent lucidity (single);
197,"extractmelody at night, with you"
198,mother
199,it wasnt me
200,imago
201,le prince bleu d'arthelius
202,franklin paddlar kanot
203,tock tick
204,rahsaan the complete mercury ings bonus
205,suntan lotion
206,canone inverso
207,diavolo in me
208,let there be love (promo copy);
209,incandescence
210,take the a train
211,la journée
212,"08 os três porquinhos, 1976"
213,"07 cindererela, 1976"
214,ok cowboy (promo mix);
215,"04 o soldadinho de chumbo, 1976"
216,"02 sapo edgar, 1976"
217,"06 chapeuzinho vermelho, 1976"
218,"01 pinóquio, 1976"
219,"05 branca de neve e os sete anões, 1976"
220,sünden ohne zügel (snippet cd);
221,"09 joão e maria, 1976"
222,"11 o patinho feio, 1976"
