"artistid","artist"
1,etta james
2,fats domino
3,tenacious d
4,jimmy reed
5,fats waller
6,memphis archives
7,roy orbison
8,the frequency benders
9,jane birkin
10,lightning slim
11,sagat
12,muddy waters
13,ray charles
14,elmore james
15,blind blake
16,waits tom
17,tommy johnson
18,john hammond jr.
19,brotha lynch hung
20,woody herman and the third herd
21,simon & garfunkel
22,dave harris
23,freddie king
24,david allan coe
25,ella fitzgerald
26,ike & tina turner
27,champion jack dupree
28,fanya de stella
29,bent persson
30,debelah morgan
31,compil
32,helmut eisel
33,the hopkins brothers
34,feel so bat
35,b.b. king
36,frank sinatra
37,ace of base
38,terra hazelton
39,carlos baute
40,sky high (clas yngstrom);
41,boyz ii men
42,n.o.r.e.
43,exiles
44,paul mccartney
45,jazz & tzaz
46,van morrison
47,adriana calcanhoto
48,kelis
49,betty wright
50,georges brassens
51,mecano
52,ian gillan
53,toni braxton
54,syl johnson
55,lou reed
56,ozzy osbourne
57,diego torres
58,chris rea
59,air supply
60,carmen mcrea
61,you the rockâ
62,billy joel
63,variés
64,john fahey
65,the platters
66,george herbert moore
67,va
68,big walter horton
69,jim croce
70,john lee hooker
71,jelly roll morton
72,blue moon special
74,django reinhardt
75,gojim
76,eric clapton
77,teddy wilson with billie holiday
78,leroy carr
79,sonny boy williamson
80,eric comstock
81,dieter kropp & the fabulous barbecue boys
82,larry franco
83,kid ramos
84,duke ellington
85,mönsterås bluesband
86,orkest polytour
87,marques houston
88,banana
89,the clash
90,dave hollister
91,the beatles
92,"n. simone, d. washington, s. vaughan"
93,svend asussen & eric ericson
94,blues 'n' trouble feat. robert cray & ian stewart
95,jj johnson & kai winding quintet
96,paul oscher
97,stevie ray vaughan
98,rev brown and the early birds
99,yangpa
100,destiny's child
101,monica
103,cheo feliciano
104,gary moore
105,final selection
107,jim suhler & monkey beat
108,ramblin conrad
109,dj jin
110,flat earth society
111,benevides chiréia júnior
112,matthew cadillac cooper
113,diaforoi
114,our songs
115,nick brignola and sal salvador
