"cdid","artist2albumid","ayear","genreid","discid"
1,1,2005,1,"000adf12"
2,2,1999,2,"000afd12"
3,3,2001,3,"000b1b13"
4,4,1999,2,"000b3d13"
5,5,2002,5,"000bd911"
6,6,1994,2,"000be211"
7,7,1986,2,"000bf713"
8,8,2000,8,"000c0a10"
9,9,1992,9,"000c7812"
10,10,1989,2,"000c8712"
11,11,1994,11,"000cb712"
12,12,1992,2,"000cbc12"
13,13,1993,13,"000cc814"
14,14,1982,2,"000cce11"
15,15,2002,2,"000cce12"
16,16,1993,16,"000d0b14"
17,17,1928,2,"000d3711"
18,18,1965,2,"000d6813"
19,19,1995,19,"000d6a12"
20,20,1987,5,"000d7912"
21,21,1967,21,"000dad13"
22,22,2001,2,"000dc112"
23,23,1998,2,"000dd112"
24,24,1985,24,"000de011"
25,25,2004,2,"000e0914"
26,26,2001,16,"000e2512"
27,27,1991,2,"000e4811"
28,28,1999,28,"000e5e11"
29,29,1996,5,"000e7a11"
30,30,1998,30,"000ee410"
31,31,2002,2,"000f3012"
32,32,2001,5,"000f4f12"
33,33,1964,2,"000f5211"
34,34,2002,34,"000f5812"
35,35,1997,2,"000f8c10"
36,36,2004,5,"000f9a13"
37,37,1999,37,"000fbe11"
38,38,2004,21,"000fd311"
39,39,2002,2,"000fe312"
40,40,2002,2,"00105d10"
41,41,2000,2,"00108f10"
42,42,2003,42,"00109112"
43,43,2004,30,"0010eb12"
44,44,1987,8,"00111a11"
45,45,2003,5,"0011210f"
46,46,1983,46,"00112112"
47,47,2000,47,"00113015"
48,48,2004,30,"00115611"
49,49,2001,2,"00116b10"
50,50,1976,50,"00119312"
51,51,1998,37,"0011ba11"
52,52,1995,52,"0011c812"
53,53,2002,53,"0011cd12"
54,54,2000,2,"0011e912"
55,55,1996,2,"00122911"
56,56,1986,52,"00123e11"
57,57,2003,2,"00123f11"
58,58,2001,2,"00124510"
59,59,2003,59,"00124712"
60,60,1988,5,"0012b612"
61,61,2003,61,"0012b911"
62,62,2005,8,"0012bd13"
63,63,2005,5,"010ad612"
64,64,1995,2,"010b3011"
65,65,2004,30,"010b8412"
66,66,1998,2,"010b8512"
67,67,1992,5,"010b8c12"
68,68,1991,2,"010bb811"
69,69,1991,2,"010c1512"
70,70,1949,2,"010c3312"
71,71,1927,5,"010c4510"
72,72,1993,2,"010c4812"
73,73,1961,2,"010c4c12"
74,74,1985,5,"010c5e12"
75,75,1994,5,"010c9d12"
76,76,1991,2,"010cac13"
77,77,1988,5,"010cbf12"
78,78,1996,2,"010cef12"
79,79,1973,2,"010cf012"
80,80,1997,80,"010d2310"
81,81,2003,2,"010da912"
82,82,1999,5,"010dba11"
83,83,2001,2,"010dfa11"
84,84,1956,5,"010e1813"
85,85,1994,2,"010e9312"
86,86,1997,5,"010e9612"
87,87,2003,30,"010ecd11"
88,88,1996,37,"010f3d12"
89,89,1979,89,"010f4313"
90,90,1999,30,"010f4910"
91,91,1995,91,"010f5322"
92,92,1960,2,"010f7812"
93,93,1973,5,"010f9512"
94,94,1985,2,"010f9911"
95,95,2005,5,"01101313"
96,96,2004,2,"01101d11"
97,97,2001,2,"01103911"
