"genreid","genre"
1,rhythm and blues
2,blues
3,humour
5,jazz
8,rock
9,chanson
11,hip hop
13,easy listening
16,soul
19,rap
21,folk
24,country
28,new age
30,r&b
34,metal
37,pop
42,rap&hip hop
46,celtic
47,mpb
50,other
52,hard rock
53,rhythmic soul
59,ballad
61,hip-hop
80,cabaret
89,punk rock
91,classic rock
100,polka
103,salsa
105,electronic
114,jpop
118,instrumental
125,house
127,"rock,rap"
132,soundtrack
135,birthday
139,acoustic
140,oldies
144,"rock,pop"
148,"christmas,holiday"
151,gospel
162,alternative
165,pop español
170,latin
175,britpop
181,heavy metal
183,progressive rock
188,j-pop
200,trance
202,speech
211,unknown
212,infantil
225,world
228,melting brains
229,classical
230,a cappella
235,meditative
236,rock&roll
238,hemi-sync
242,avantgarde
247,ethnic
251,misc
253,vocal
262,comedy
264,club
291,data
293,jungle
301,ambient
306,"jazz,funk"
317,dance
342,halloween
345,games
350,tapping
379,samba
389,tango
390,techno
396,audio book
405,trip-hop
407,contentum
408,"pop,general pop"
410,game
435,punk
441,yurik
449,"r&b,soul"
477,punjabi folk
480,christmas
489,bluegrass
498,neue deutsche welle
560,musical
571,club house
572,choral
580,lesung
581,balada
582,slow rock
627,downtempo
630,acid jazz
648,"pop,funk"
652,merengue
680,forró
692,reggae dub
697,steady
703,bass
721,indie
735,nederlandstalig
737,rnb
739,eurodance
790,opera
797,"pop,blues"
801,ritm&blues
824,blue
828,contemporary blues
854,swing
872,funk
884,top 40
886,guitar
901,gothic metal
904,christian rock
911,reggae
933,acoustic blues
965,boogie woogie
1000,single
1007,slow jam
1022,visual rock
1028,language
1029,vers-zene
1061,rockpop
1160,folklore
1179,frysk
1185,contemporary r&b
1205,bebob
1219,jazz rock fussion
1242,freestyle
1252,japanese pop
1268,general blues
1296,listening
1302,disco
1309,best
1310,blues-rock
1350,soul blues
1357,christian
1396,"classical,general cl"
1406,volksweisen
1424,goth rock
1436,baiana
1444,"blues,rock,pop"
1451,new wave
1468,native american
1487,folk-rock
1521,joululaulut
1575,lounge
1581,vocal dance
1602,new jack
1614,japanese rock
1617,nederhop
1632,pop-folk
1643,espanol
1646,forro
1658,relax
1660,general jazz
1671,ska
1694,melodifestival
1702,anime
1715,bella union
1716,"folk,rock"
1718,rock pop
1776,national folk
1800,sludge doom
1807,retro
1838,live
1867,rock melodics
1894,rocl
1898,psychedelic
1920,samba canção
1931,christian acappella
1951,soulrock
2002,religioso
2015,alternative country
2027,"funk,soul"
2037,club-house
2045,long live rock&roll
2053,revival
2120,slow
2130,cumbia
2133,"pop,rock"
2134,"blues,rock"
2145,probecd
2148,compil
2171,alternrock
2180,grunge
2191,blues rock
2253,electronica
2264,popular
2278,fusion
2297,v. française
2306,acid punk
2320,eock
2321,"techno,trance"
2323,tekkno
2363,"electronica,dance,cl"
2396,hardcore
2398,"pop,soul"
2401,jrock
2411,suomirock
2412,r&b groups
2454,lo-fi
2464,ballads
2471,power ballad
2492,greek pop
2518,oz-rock
2597,psychedelic rock
2600,piano
2616,boys
2694,jazz-house
2719,acid
2729,"jazz,general jazz"
2788,alt.rock
2845,acapella
2858,french pop
2862,leggera
2865,pop rock
2887,synthpop
2896,"rock,japanese rock"
2912,hardrock
2948,"dance,disco"
2953,industrial
2959,big band
3002,alternative rock
3049,black metal
3081,"blues,acid jazz"
3128,"jazz,ragtime"
3134,motown
3158,tribal
3175,death metal
3201,power pop
3207,instrumental rock
3208,"electronica,dance,ge"
3231,"pop,acoustic pop"
3233,klassik
3273,schlager
3282,gospel-delic
3289,electronic rock
3296,twee pop
3303,adult contempory
3310,trip hop
3345,doom
3387,show live
3404,mind entertainment
3503,male vocal
3528,gzsz
3535,organ
3538,r&b male
3540,kinderlieder
3566,symphonic rock
3618,delta-blues
3619,"blues,jimmy reed"
3931,"zydeco,cajun"
3983,blues explosion
4072,toupee
4083,dance diva
4094,progressive blues
4114,neo-classical
4128,rockabilly
4133,rhythm&blues
4166,dub
4204,maxi-cds
4207,alt. rock
4229,quickstep
4244,bentonia blues
4259,kleinkunst
4284,rockblues
4362,post punk
4368,blues punk
4369,unclassifiable
4405,greek
4428,electro jazz
4458,pagode
4476,v.a
4487,rock demenziale
4494,austria-cult
4501,"rnb,regggae"
4580,"hip hop,r&b"
4647,blues pop
4679,bolero
4686,rock brasil
4713,cult
4884,zydeco
4926,vol.4
4977,j-r&b
5011,guitar music
5035,dramatic audio
5069,fodboldmusik
5141,enfant
5160,the kids of dunblan 
5215,mix
5232,southern rock
5257,blues-string bands
5270,sprachen
5294,cajun
5295,deutsch pop
5299,gangsta rap
5407,indie rock
5432,spoken word
5439,american primitive
5470,beat
5490,"rap,hip hop,black"
5496,trash metal
5547,komerz-dance
5561,mixcd
5590,inconnu
5609,r and b
5668,symphonic
5669,qawwali
5711,domestic(j-pops
5768,vários
5775,rojo
5788,x-mas
5808,"r&b,general r&b"
5843,vintage r&b
5855,deutsch
5869,baroque
5883,christian pop
5945,liedermacher
5961,folklorica colombian
5990,heavy blues
6014,hiphop
6095,deutschpunk
6131,telugu
